timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1645041067345,91,/get_method,200,OK,Thread Group 1-1,text,true,,162,149,3,3,http://162.55.220.72:5005/get_method?name=Nikita&age=26,91,0,43
1645041067382,88,/get_method,200,OK,Thread Group 1-2,text,true,,162,149,4,4,http://162.55.220.72:5005/get_method?name=Nikita&age=26,88,0,45
1645041067422,90,/get_method,200,OK,Thread Group 1-3,text,true,,162,149,5,5,http://162.55.220.72:5005/get_method?name=Nikita&age=26,90,0,43
1645041067437,89,/user_info_2,200,OK,Thread Group 1-1,text,true,,396,247,5,5,http://162.55.220.72:5005/user_info_2,89,0,42
1645041067471,89,/user_info_2,200,OK,Thread Group 1-2,text,true,,396,247,6,6,http://162.55.220.72:5005/user_info_2,89,0,41
1645041067466,94,/get_method,200,OK,Thread Group 1-4,text,true,,162,149,6,6,http://162.55.220.72:5005/get_method?name=Nikita&age=26,94,0,44
1645041067504,87,/get_method,200,OK,Thread Group 1-5,text,true,,162,149,7,7,http://162.55.220.72:5005/get_method?name=Nikita&age=26,87,0,42
1645041067512,92,/user_info_2,200,OK,Thread Group 1-3,text,true,,396,247,7,7,http://162.55.220.72:5005/user_info_2,92,0,43
1645041067526,90,/user_info_3,200,OK,Thread Group 1-1,text,true,,266,247,7,7,http://162.55.220.72:5005/user_info_3,90,0,43
1645041067543,86,/get_method,200,OK,Thread Group 1-6,text,true,,162,149,8,8,http://162.55.220.72:5005/get_method?name=Nikita&age=26,86,0,41
1645041067560,89,/user_info_2,200,OK,Thread Group 1-4,text,true,,396,247,8,8,http://162.55.220.72:5005/user_info_2,89,0,41
1645041067560,91,/user_info_3,200,OK,Thread Group 1-2,text,true,,266,247,8,8,http://162.55.220.72:5005/user_info_3,91,0,44
1645041067582,85,/get_method,200,OK,Thread Group 1-7,text,true,,162,149,9,9,http://162.55.220.72:5005/get_method?name=Nikita&age=26,85,0,41
1645041067591,94,/user_info_2,200,OK,Thread Group 1-5,text,true,,396,247,9,9,http://162.55.220.72:5005/user_info_2,94,0,45
1645041067604,93,/user_info_3,200,OK,Thread Group 1-3,text,true,,266,247,9,9,http://162.55.220.72:5005/user_info_3,93,0,43
1645041067616,87,/object_info_1,200,OK,Thread Group 1-1,text,true,,212,162,10,10,http://162.55.220.72:5005/object_info_1?name=Nikita&age=26&weight=87,87,0,42
1645041067627,88,/get_method,200,OK,Thread Group 1-8,text,true,,162,149,10,10,http://162.55.220.72:5005/get_method?name=Nikita&age=26,88,0,40
1645041067629,91,/user_info_2,200,OK,Thread Group 1-6,text,true,,396,247,10,10,http://162.55.220.72:5005/user_info_2,91,0,45
1645041067650,95,/user_info_3,200,OK,Thread Group 1-4,text,true,,266,247,11,11,http://162.55.220.72:5005/user_info_3,95,0,44
1645041067652,96,/object_info_1,200,OK,Thread Group 1-2,text,true,,212,162,11,11,http://162.55.220.72:5005/object_info_1?name=Nikita&age=26&weight=87,96,0,46
1645041067662,88,/get_method,200,OK,Thread Group 1-9,text,true,,162,149,11,11,http://162.55.220.72:5005/get_method?name=Nikita&age=26,87,0,41
1645041067668,91,/user_info_2,200,OK,Thread Group 1-7,text,true,,396,247,11,11,http://162.55.220.72:5005/user_info_2,91,0,44
1645041067685,87,/user_info_3,200,OK,Thread Group 1-5,text,true,,266,247,11,11,http://162.55.220.72:5005/user_info_3,87,0,43
1645041067698,89,/object_info_1,200,OK,Thread Group 1-3,text,true,,212,162,12,12,http://162.55.220.72:5005/object_info_1?name=Nikita&age=26&weight=87,89,0,41
1645041067703,90,/object_info_2,200,OK,Thread Group 1-1,text,true,,396,165,12,12,http://162.55.220.72:5005/object_info_2?name=Nikita&age=26&salary=60000,90,0,43
1645041067703,90,/get_method,200,OK,Thread Group 1-10,text,true,,162,149,12,12,http://162.55.220.72:5005/get_method?name=Nikita&age=26,90,0,42
1645041067715,87,/user_info_2,200,OK,Thread Group 1-8,text,true,,396,247,12,12,http://162.55.220.72:5005/user_info_2,87,0,42
1645041067720,86,/user_info_3,200,OK,Thread Group 1-6,text,true,,266,247,12,12,http://162.55.220.72:5005/user_info_3,86,0,40
1645041067742,92,/get_method,200,OK,Thread Group 1-11,text,true,,162,149,13,13,http://162.55.220.72:5005/get_method?name=Nikita&age=26,92,0,41
1645041067748,92,/object_info_2,200,OK,Thread Group 1-2,text,true,,396,165,13,13,http://162.55.220.72:5005/object_info_2?name=Nikita&age=26&salary=60000,91,0,42
1645041067745,95,/object_info_1,200,OK,Thread Group 1-4,text,true,,212,162,13,13,http://162.55.220.72:5005/object_info_1?name=Nikita&age=26&weight=87,95,0,43
1645041067750,91,/user_info_2,200,OK,Thread Group 1-9,text,true,,396,247,13,13,http://162.55.220.72:5005/user_info_2,91,0,42
1645041067759,87,/user_info_3,200,OK,Thread Group 1-7,text,true,,266,247,13,13,http://162.55.220.72:5005/user_info_3,87,0,41
1645041067772,86,/object_info_1,200,OK,Thread Group 1-5,text,true,,212,162,13,13,http://162.55.220.72:5005/object_info_1?name=Nikita&age=26&weight=87,86,0,42
1645041067784,92,/get_method,200,OK,Thread Group 1-12,text,true,,162,149,14,14,http://162.55.220.72:5005/get_method?name=Nikita&age=26,92,0,44
1645041067787,92,/object_info_2,200,OK,Thread Group 1-3,text,true,,396,165,14,14,http://162.55.220.72:5005/object_info_2?name=Nikita&age=26&salary=60000,92,0,42
1645041067793,87,/object_info_3,200,OK,Thread Group 1-1,text,true,,338,166,14,14,http://162.55.220.72:5005/object_info_3?name=Nikita&age=26&salary=600000,87,0,41
1645041067794,91,/user_info_2,200,OK,Thread Group 1-10,text,true,,396,247,14,14,http://162.55.220.72:5005/user_info_2,91,0,41
1645041067806,91,/object_info_1,200,OK,Thread Group 1-6,text,true,,212,162,14,14,http://162.55.220.72:5005/object_info_1?name=Nikita&age=26&weight=87,91,0,40
1645041067803,95,/user_info_3,200,OK,Thread Group 1-8,text,true,,266,247,14,14,http://162.55.220.72:5005/user_info_3,95,0,43
1645041067823,86,/get_method,200,OK,Thread Group 1-13,text,true,,162,149,15,15,http://162.55.220.72:5005/get_method?name=Nikita&age=26,86,0,42
1645041067840,86,/object_info_3,200,OK,Thread Group 1-2,text,true,,338,166,15,15,http://162.55.220.72:5005/object_info_3?name=Nikita&age=26&salary=600000,86,0,40
1645041067841,87,/user_info_3,200,OK,Thread Group 1-9,text,true,,266,247,15,15,http://162.55.220.72:5005/user_info_3,87,0,40
1645041067834,96,/user_info_2,200,OK,Thread Group 1-11,text,true,,396,247,15,15,http://162.55.220.72:5005/user_info_2,96,0,43
1645041067841,91,/object_info_2,200,OK,Thread Group 1-4,text,true,,396,165,15,15,http://162.55.220.72:5005/object_info_2?name=Nikita&age=26&salary=60000,91,0,42
1645041067859,86,/object_info_2,200,OK,Thread Group 1-5,text,true,,396,165,16,16,http://162.55.220.72:5005/object_info_2?name=Nikita&age=26&salary=60000,86,0,41
1645041067847,99,/object_info_1,200,OK,Thread Group 1-7,text,true,,212,162,16,16,http://162.55.220.72:5005/object_info_1?name=Nikita&age=26&weight=87,99,0,49
1645041067863,86,/get_method,200,OK,Thread Group 1-14,text,true,,162,149,16,16,http://162.55.220.72:5005/get_method?name=Nikita&age=26,86,0,40
1645041067876,93,/user_info_2,200,OK,Thread Group 1-12,text,true,,396,247,16,16,http://162.55.220.72:5005/user_info_2,93,0,42
1645041067880,92,/object_info_4,200,OK,Thread Group 1-1,text,true,,208,165,16,16,http://162.55.220.72:5005/object_info_4?name=Nikita&age=26&salary=60000,92,0,41
1645041067885,89,/user_info_3,200,OK,Thread Group 1-10,text,true,,266,247,16,16,http://162.55.220.72:5005/user_info_3,89,0,40
1645041067879,97,/object_info_3,200,OK,Thread Group 1-3,text,true,,338,166,16,16,http://162.55.220.72:5005/object_info_3?name=Nikita&age=26&salary=600000,97,0,43
1645041067897,90,/object_info_2,200,OK,Thread Group 1-6,text,true,,396,165,17,17,http://162.55.220.72:5005/object_info_2?name=Nikita&age=26&salary=60000,90,0,43
1645041067898,91,/object_info_1,200,OK,Thread Group 1-8,text,true,,212,162,17,17,http://162.55.220.72:5005/object_info_1?name=Nikita&age=26&weight=87,91,0,42
1645041067902,92,/get_method,200,OK,Thread Group 1-15,text,true,,162,149,17,17,http://162.55.220.72:5005/get_method?name=Nikita&age=26,92,0,41
1645041067910,89,/user_info_2,200,OK,Thread Group 1-13,text,true,,396,247,17,17,http://162.55.220.72:5005/user_info_2,89,0,43
1645041067928,91,/object_info_1,200,OK,Thread Group 1-9,text,true,,212,162,17,17,http://162.55.220.72:5005/object_info_1?name=Nikita&age=26&weight=87,91,0,41
1645041067926,93,/object_info_4,200,OK,Thread Group 1-2,text,true,,208,165,17,17,http://162.55.220.72:5005/object_info_4?name=Nikita&age=26&salary=60000,93,0,40
1645041067930,91,/user_info_3,200,OK,Thread Group 1-11,text,true,,266,247,17,17,http://162.55.220.72:5005/user_info_3,91,0,41
1645041067932,92,/object_info_3,200,OK,Thread Group 1-4,text,true,,338,166,18,18,http://162.55.220.72:5005/object_info_3?name=Nikita&age=26&salary=600000,92,0,41
1645041067941,89,/get_method,200,OK,Thread Group 1-16,text,true,,162,149,18,18,http://162.55.220.72:5005/get_method?name=Nikita&age=26,89,0,41
1645041067945,86,/object_info_3,200,OK,Thread Group 1-5,text,true,,338,166,18,18,http://162.55.220.72:5005/object_info_3?name=Nikita&age=26&salary=600000,86,0,40
1645041067946,87,/object_info_2,200,OK,Thread Group 1-7,text,true,,396,165,18,18,http://162.55.220.72:5005/object_info_2?name=Nikita&age=26&salary=60000,87,0,40
1645041067949,87,/user_info_2,200,OK,Thread Group 1-14,text,true,,396,247,18,18,http://162.55.220.72:5005/user_info_2,87,0,41
1645041067969,86,/user_info_3,200,OK,Thread Group 1-12,text,true,,266,247,18,18,http://162.55.220.72:5005/user_info_3,86,0,42
1645041067972,88,/get_method,200,OK,Thread Group 1-1,text,true,,162,149,18,18,http://162.55.220.72:5005/get_method?name=Nikita&age=26,88,0,41
1645041067974,87,/object_info_1,200,OK,Thread Group 1-10,text,true,,212,162,18,18,http://162.55.220.72:5005/object_info_1?name=Nikita&age=26&weight=87,87,0,40
1645041067976,90,/object_info_4,200,OK,Thread Group 1-3,text,true,,208,165,19,19,http://162.55.220.72:5005/object_info_4?name=Nikita&age=26&salary=60000,90,0,41
1645041067981,91,/get_method,200,OK,Thread Group 1-17,text,true,,162,149,19,19,http://162.55.220.72:5005/get_method?name=Nikita&age=26,91,0,44
1645041067987,86,/object_info_3,200,OK,Thread Group 1-6,text,true,,338,166,19,19,http://162.55.220.72:5005/object_info_3?name=Nikita&age=26&salary=600000,86,0,42
1645041067989,87,/object_info_2,200,OK,Thread Group 1-8,text,true,,396,165,19,19,http://162.55.220.72:5005/object_info_2?name=Nikita&age=26&salary=60000,86,0,41
1645041067994,87,/user_info_2,200,OK,Thread Group 1-15,text,true,,396,247,19,19,http://162.55.220.72:5005/user_info_2,87,0,44
1645041067999,86,/user_info_3,200,OK,Thread Group 1-13,text,true,,266,247,19,19,http://162.55.220.72:5005/user_info_3,86,0,41
1645041068019,88,/object_info_2,200,OK,Thread Group 1-9,text,true,,396,165,20,20,http://162.55.220.72:5005/object_info_2?name=Nikita&age=26&salary=60000,88,0,41
1645041068021,89,/object_info_1,200,OK,Thread Group 1-11,text,true,,212,162,20,20,http://162.55.220.72:5005/object_info_1?name=Nikita&age=26&weight=87,89,0,42
1645041068020,96,/get_method,200,OK,Thread Group 1-2,text,true,,162,149,20,20,http://162.55.220.72:5005/get_method?name=Nikita&age=26,96,0,43
1645041068030,89,/user_info_2,200,OK,Thread Group 1-16,text,true,,396,247,20,20,http://162.55.220.72:5005/user_info_2,89,0,41
1645041068024,96,/object_info_4,200,OK,Thread Group 1-4,text,true,,208,165,20,20,http://162.55.220.72:5005/object_info_4?name=Nikita&age=26&salary=60000,95,0,41
1645041068022,98,/get_method,200,OK,Thread Group 1-18,text,true,,162,149,20,20,http://162.55.220.72:5005/get_method?name=Nikita&age=26,98,0,42
1645041068033,99,/object_info_3,200,OK,Thread Group 1-7,text,true,,338,166,20,20,http://162.55.220.72:5005/object_info_3?name=Nikita&age=26&salary=600000,99,0,42
1645041068031,103,/object_info_4,200,OK,Thread Group 1-5,text,true,,208,165,20,20,http://162.55.220.72:5005/object_info_4?name=Nikita&age=26&salary=60000,103,0,44
1645041068037,99,/user_info_3,200,OK,Thread Group 1-14,text,true,,266,247,20,20,http://162.55.220.72:5005/user_info_3,99,0,41
1645041068056,86,/object_info_1,200,OK,Thread Group 1-12,text,true,,212,162,21,21,http://162.55.220.72:5005/object_info_1?name=Nikita&age=26&weight=87,86,0,41
1645041068064,86,/get_method,200,OK,Thread Group 1-19,text,true,,162,149,21,21,http://162.55.220.72:5005/get_method?name=Nikita&age=26,86,0,40
1645041068061,94,/object_info_2,200,OK,Thread Group 1-10,text,true,,396,165,21,21,http://162.55.220.72:5005/object_info_2?name=Nikita&age=26&salary=60000,94,0,42
1645041068066,92,/get_method,200,OK,Thread Group 1-3,text,true,,162,149,21,21,http://162.55.220.72:5005/get_method?name=Nikita&age=26,92,0,41
1645041068060,100,/user_info_2,200,OK,Thread Group 1-1,text,true,,396,247,21,21,http://162.55.220.72:5005/user_info_2,100,0,44
1645041068073,98,/object_info_4,200,OK,Thread Group 1-6,text,true,,208,165,21,21,http://162.55.220.72:5005/object_info_4?name=Nikita&age=26&salary=60000,98,0,53
1645041068072,100,/user_info_2,200,OK,Thread Group 1-17,text,true,,396,247,21,21,http://162.55.220.72:5005/user_info_2,100,0,53
1645041068076,98,/object_info_3,200,OK,Thread Group 1-8,text,true,,338,166,21,21,http://162.55.220.72:5005/object_info_3?name=Nikita&age=26&salary=600000,98,0,51
1645041068081,98,/user_info_3,200,OK,Thread Group 1-15,text,true,,266,247,21,21,http://162.55.220.72:5005/user_info_3,98,0,47
1645041068085,95,/object_info_1,200,OK,Thread Group 1-13,text,true,,212,162,21,21,http://162.55.220.72:5005/object_info_1?name=Nikita&age=26&weight=87,95,0,45
1645041068103,86,/get_method,200,OK,Thread Group 1-20,text,true,,162,149,22,22,http://162.55.220.72:5005/get_method?name=Nikita&age=26,86,0,42
1645041068107,84,/object_info_3,200,OK,Thread Group 1-9,text,true,,338,166,22,22,http://162.55.220.72:5005/object_info_3?name=Nikita&age=26&salary=600000,84,0,41
